dsid,mzp,mdh,mdm,gq,gx,acc_MET150200_2b,acc_MET200350_2b,acc_MET350500_2b,acc_MET500750_2b,acc_MET750_2b,acc_MET150200_3b,acc_MET200350_3b,acc_MET350500_3b,acc_MET500_3b,acc_total,sensitivity
100890,2000,130,285,0.25,1.0,0.000975804,0.0816258,0.049765,0.0336293,0.00876172,0.0,0.000821071,0.000526407,0.00128924,0.177394342,9.49999169051
100891,2000,130,285,0.25,1.5,0.000917392,0.0844389,0.0555693,0.033854,0.00705803,0.0,0.00114565,0.000690496,0.000874417,0.184548185,32.7550440594
100892,2000,130,285,0.25,2.0,0.000942494,0.0885739,0.0559123,0.0395742,0.0081792,0.0,0.00122859,0.000709079,0.00167798,0.196797743,76.0945571433
100893,2000,130,285,0.25,2.5,0.00156595,0.0960923,0.0591014,0.0435213,0.0121517,0.00011208,0.00229488,0.00187853,0.00184806,0.21856620000000002,144.784082111
100894,2000,130,285,0.25,3.0,0.000747103,0.0970518,0.0698246,0.0484814,0.0124242,0.0,0.000594974,0.001397,0.000889472,0.231410549,202.583793889
100895,2000,130,285,0.25,3.5,0.000972194,0.0931889,0.0711565,0.0545032,0.0174937,0.000142098,0.000908451,0.00098739,0.00299122,0.24234365299999996,287.416276819
100896,2000,130,470,0.25,0.5,0.00119017,0.0790378,0.0440989,0.0271969,0.00652382,0.0,0.0010208,0.000977173,0.00102701,0.161072573,0.390980910749
100897,2000,130,470,0.25,1.0,0.00115795,0.0805883,0.0478465,0.0269281,0.0072678,0.000117247,0.000566837,0.000670545,0.000201148,0.165344427,5.00249523649
100898,2000,130,470,0.25,1.5,0.00200846,0.0844021,0.0450408,0.0263779,0.00799539,0.0,0.00112429,0.000212141,0.00213969,0.169300771,19.5325073491
100900,2000,130,470,0.25,2.5,0.00146318,0.0927579,0.0547098,0.036117,0.010385,0.0,0.00108396,0.000940014,0.00136803,0.19882488399999998,91.489254577
100901,2000,130,470,0.25,3.0,0.000759489,0.0901626,0.0567653,0.0392787,0.0121143,0.0,0.000839886,0.000894791,0.00125644,0.202071506,137.301057662
100902,2000,130,470,0.25,3.5,0.00112329,0.0964154,0.0625267,0.0454216,0.0109176,0.0,0.000976115,0.000216339,0.00197722,0.219574264,181.3800814
